id,ribotype
351,"['029', '066', '078', 'Strain027', 'CloneA-15', 'CloneAT-3', '434', '444', '012', '078/4', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '033', 'Strain630', '542', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-8', 'AI5', 'CloneAT-9']"
352,"['029', '251']"
353,"['CloneB-11', '484', '033', '063/1', '434', '444', 'CloneA-15', '126']"
354,"['StrainCD196', '441/3', '029', 'Strain630', '012', '027']"
355,"['434', '519']"
356,['519']
357,"['029', 'Strain027', 'CloneA-15', '078ecdc', '063/1', '434', '444', '012', '524', '519', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'CloneAT-9']"
358,"['066/2', 'AI5', 'CloneAT-16', 'CloneAT-3', '045', '524', 'CloneAT-9', '029', '066', '251', 'CloneAT-12', 'CloneAT-7', 'CloneAT-17', '542', '012']"
359,"['066/2', 'CloneAT-16', 'StrainCD196', '045', 'CloneAT-3', '247', '012']"
360,['542']
361,"['CloneAT-12', '524', '519', '029', 'CloneAT-11', 'CloneAT-14', '434', '542', 'CloneAT-1', '444', '441/3']"
362,['434']
363,['434']
364,['434']
365,['063/1']
366,['029']
367,['542']
368,['078']
369,"['029', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
370,['126']
371,"['434', '519']"
372,"['029', '444', '434', '519']"
373,"['CloneAT-12', '524', '519', '029', '001', 'CloneAT-11', 'CloneAT-14', '434', '542', 'CloneAT-1', '444', '441/3']"
374,['542']
375,['012']
376,"['029', 'Strain630']"
377,['029']
378,"['029', '066', '078', 'Strain027', 'CloneA-15', 'CloneAT-3', '434', '444', '012', '078/4', '066/2', 'CloneAT-16', '045', '524', '519', '045/1', '033', '247', '542', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-8', 'AI5', 'CloneAT-9']"
379,['484']
380,['001']
381,['029']
382,"['078/4', '033', '126']"
383,"['CloneAT-1', 'CloneAT-12', 'CloneAT-11', 'CloneAT-14']"
384,['247']
