"accession","source_code","ribotype"
"ERR026358","ERR",27
"ERR026359","ERR",27
"ERR026391","ERR",27
"ERR026392","ERR",27
"ERR026393","ERR",27
"ERR026394","ERR",27
"ERR026395","ERR",27
"ERR026396","ERR",27
"ERR026397","ERR",27
"ERR026398","ERR",27
"ERR026399","ERR",27
"ERR026400","ERR",27
"ERR026401","ERR",27
"ERR026417","ERR",27
"ERR026418","ERR",27
"ERR026420","ERR",27
"ERR026421","ERR",27
"ERR026422","ERR",27
"ERR026423","ERR",27
"ERR026424","ERR",27
"ERR026426","ERR",27
"ERR026427","ERR",27
"ERR026404","ERR",27
"ERR026405","ERR",27
"ERR026406","ERR",27
"ERR026407","ERR",27
"ERR026408","ERR",27
"ERR026409","ERR",27
"ERR026410","ERR",27
"ERR026411","ERR",27
"ERR026412","ERR",27
"ERR026413","ERR",27
"ERR026414","ERR",27
"ERR026415","ERR",27
"ERR026378","ERR",27
"ERR026379","ERR",27
"ERR026380","ERR",27
"ERR026381","ERR",27
"ERR026382","ERR",27
"ERR026383","ERR",27
"ERR026384","ERR",27
"ERR026386","ERR",27
"ERR026387","ERR",27
"ERR026388","ERR",27
"ERR026389","ERR",27
"ERR026365","ERR",27
"ERR026366","ERR",27
"ERR026367","ERR",27
"ERR026368","ERR",27
"ERR026369","ERR",27
"ERR026370","ERR",27
"ERR026371","ERR",27
"ERR026372","ERR",27
"ERR026374","ERR",27
"ERR026375","ERR",27
"ERR026376","ERR",27
"ERR025343","ERR",27
"ERR025344","ERR",27
"ERR025345","ERR",27
"ERR025346","ERR",27
"ERR025347","ERR",27
"ERR025348","ERR",27
"ERR025351","ERR",27
"ERR025352","ERR",27
"ERR025353","ERR",27
"ERR025354","ERR",27
"ERR028721","ERR",27
"ERR028722","ERR",27
"ERR028724","ERR",27
"ERR028725","ERR",27
"ERR028726","ERR",27
"ERR028727","ERR",27
"ERR028728","ERR",27
"ERR028729","ERR",27
"ERR028730","ERR",27
"ERR028731","ERR",27
"ERR028732","ERR",27
"ERR126246","ERR",27
"ERR108233","ERR",27
"ERR108230","ERR",27
"ERR108229","ERR",27
"ERR108226","ERR",27
"ERR108223","ERR",27
"ERR108221","ERR",27
"ERR108218","ERR",27
"ERR108217","ERR",27
"ERR108215","ERR",27
"ERR108211","ERR",27
"ERR024655","ERR",27
"ERR024656","ERR",27
"ERR024657","ERR",27
"ERR024659","ERR",27
"ERR024660","ERR",27
"ERR024661","ERR",27
"ERR024662","ERR",27
"ERR024663","ERR",27
"ERR024664","ERR",27
"ERR024665","ERR",27
"ERR024666","ERR",27
"ERR024642","ERR",27
"ERR024643","ERR",27
"ERR024646","ERR",27
"ERR024647","ERR",27
"ERR024648","ERR",27
"ERR024649","ERR",27
"ERR024650","ERR",27
"ERR024651","ERR",27
"ERR024652","ERR",27
"ERR024653","ERR",27
"ERR008616","ERR",27
"ERR008619","ERR",27
"ERR030387","ERR",27
"ERR030388","ERR",27
"ERR030389","ERR",27
"ERR030390","ERR",27
"ERR030391","ERR",27
"ERR030392","ERR",27
"ERR030393","ERR",27
"ERR030394","ERR",27
"ERR030396","ERR",27
"ERR030398","ERR",27
"ERR030374","ERR",27
"ERR030375","ERR",27
"ERR030376","ERR",27
"ERR030377","ERR",27
"ERR030378","ERR",27
"ERR030293","ERR",27
"ERR030294","ERR",27
"ERR030283","ERR",27
"ERR030288","ERR",27
"ERR030284","ERR",27
"ERR030285","ERR",27
"ERR030286","ERR",27
"ERR030287","ERR",27
"ERR030290","ERR",27
"ERR030292","ERR",27
"ERR030291","ERR",27
"ERR030318","ERR",27
"ERR030320","ERR",27
"ERR030315","ERR",27
"ERR030311","ERR",27
"ERR030312","ERR",27
"ERR030316","ERR",27
"ERR030298","ERR",27
"ERR030301","ERR",27
"ERR030302","ERR",27
"ERR030306","ERR",27
"ERR030299","ERR",27
"ERR030300","ERR",27
"ERR030307","ERR",27
"ERR030304","ERR",27
"ERR030305","ERR",27
"ERR030296","ERR",27
"ERR030297","ERR",27
"ERR030322","ERR",27
"ERR030323","ERR",27
"ERR030324","ERR",27
"ERR030325","ERR",27
"ERR030326","ERR",27
"ERR030327","ERR",27
"ERR030328","ERR",27
"ERR030329","ERR",27
"ERR030333","ERR",27
"ERR030335","ERR",27
"ERR030336","ERR",27
"ERR030337","ERR",27
"ERR030339","ERR",27
"ERR030340","ERR",27
"ERR030341","ERR",27
"ERR030342","ERR",27
"ERR030344","ERR",27
"ERR030346","ERR",27
"ERR034223","ERR",27
"ERR030352","ERR",27
"ERR030353","ERR",27
"ERR030354","ERR",27
"ERR030355","ERR",27
"ERR031687","ERR",27
"ERR031688","ERR",27
"ERR031689","ERR",27
"ERR031690","ERR",27
"ERR031691","ERR",27
"ERR031692","ERR",27
"ERR031693","ERR",27
"ERR031697","ERR",27
"ERR031698","ERR",27
"ERR031700","ERR",27
"ERR031701","ERR",27
"ERR031702","ERR",27
"ERR031703","ERR",27
"ERR031704","ERR",27
"ERR031707","ERR",27
"ERR031711","ERR",27
"ERR031675","ERR",27
"ERR031676","ERR",27
"ERR031677","ERR",27
"ERR031678","ERR",27
"ERR031679","ERR",27
"ERR031680","ERR",27
"ERR031681","ERR",27
"ERR031683","ERR",27
"ERR031684","ERR",27
"ERR031685","ERR",27
"ERR029481","ERR",27
"ERR029482","ERR",27
"ERR029483","ERR",27
"ERR029490","ERR",27
"ERR029484","ERR",27
"ERR029485","ERR",27
"ERR029488","ERR",27
"ERR029491","ERR",27
"ERR029492","ERR",27
"ERR029517","ERR",27
"ERR029518","ERR",27
"ERR029507","ERR",27
"ERR029511","ERR",27
"ERR029512","ERR",27
"ERR029513","ERR",27
"ERR029514","ERR",27
"ERR029515","ERR",27
"ERR029516","ERR",27
"ERR029537","ERR",27
"ERR029538","ERR",27
"ERR029533","ERR",27
"ERR029534","ERR",27
"ERR029535","ERR",27
"ERR029536","ERR",27
"ERR029539","ERR",27
"ERR029540","ERR",27
"ERR029542","ERR",27
"ERR029544","ERR",27
"ERR029496","ERR",27
"ERR029497","ERR",27
"ERR029498","ERR",27
"ERR029499","ERR",27
"ERR029500","ERR",27
"ERR029501","ERR",27
"ERR029503","ERR",27
"ERR029504","ERR",27
"ERR029505","ERR",27
"ERR029494","ERR",27
"ERR029495","ERR",27
"ERR029520","ERR",27
"ERR029525","ERR",27
"ERR029526","ERR",27
"ERR029527","ERR",27
"ERR029528","ERR",27
"ERR029531","ERR",27
"ERR029523","ERR",27
