"X.","Enterobase","Paper","Overall"
"","(N=3423)","(N=4655)","(N=8078)"
"ribotype_class","","",""
"  666","1 (0.0%)","0 (0%)","1 (0.0%)"
"  668","1 (0.0%)","0 (0%)","1 (0.0%)"
"  669","0 (0%)","1 (0.0%)","1 (0.0%)"
"  673","0 (0%)","2 (0.0%)","2 (0.0%)"
"  676","0 (0%)","1 (0.0%)","1 (0.0%)"
"  677","0 (0%)","1 (0.0%)","1 (0.0%)"
"  678","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  680","0 (0%)","1 (0.0%)","1 (0.0%)"
"  681","0 (0%)","1 (0.0%)","1 (0.0%)"
"  682","0 (0%)","1 (0.0%)","1 (0.0%)"
"  684","0 (0%)","1 (0.0%)","1 (0.0%)"
"  686","0 (0%)","1 (0.0%)","1 (0.0%)"
"  694","0 (0%)","1 (0.0%)","1 (0.0%)"
"  701","2 (0.1%)","0 (0%)","2 (0.0%)"
"  704","0 (0%)","1 (0.0%)","1 (0.0%)"
"  705","0 (0%)","1 (0.0%)","1 (0.0%)"
"  706","0 (0%)","1 (0.0%)","1 (0.0%)"
"  707","0 (0%)","1 (0.0%)","1 (0.0%)"
"  708","1 (0.0%)","0 (0%)","1 (0.0%)"
"  710","0 (0%)","1 (0.0%)","1 (0.0%)"
"  716","0 (0%)","1 (0.0%)","1 (0.0%)"
"  718","0 (0%)","1 (0.0%)","1 (0.0%)"
"  719","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  720","1 (0.0%)","0 (0%)","1 (0.0%)"
"  721","1 (0.0%)","0 (0%)","1 (0.0%)"
"  722","1 (0.0%)","0 (0%)","1 (0.0%)"
"  723","0 (0%)","1 (0.0%)","1 (0.0%)"
"  724","0 (0%)","1 (0.0%)","1 (0.0%)"
"  725","0 (0%)","1 (0.0%)","1 (0.0%)"
"  820","1 (0.0%)","0 (0%)","1 (0.0%)"
"  975","4 (0.1%)","0 (0%)","4 (0.0%)"
"  1059","1 (0.0%)","0 (0%)","1 (0.0%)"
"  1062","1 (0.0%)","0 (0%)","1 (0.0%)"
"  Missing","0 (0%)","576 (12.4%)","576 (7.1%)"
