"accession","source_code","ribotype"
"ERR347736","ERR",27
"ERR347729","ERR",27
"ERR347723","ERR",27
"ERR347786","ERR",27
"ERR347711","ERR",27
"ERR347753","ERR",27
"ERR347833","ERR",27
"ERR347605","ERR",27
"ERR347741","ERR",27
"ERR347735","ERR",27
"ERR347722","ERR",27
"ERR347716","ERR",27
"ERR347710","ERR",27
"ERR347612","ERR",27
"SRR9596282","SRR",27
"SRR9596171","SRR",27
"SRR9596260","SRR",27
"SRR9596256","SRR",27
"SRR9596187","SRR",27
"SRR3630060","SRR",27
"SRR3630299","SRR",27
