,accession,source_code,ribotype,c1
483,SRR5410489,SRR,78.0,
484,SRR5410488,SRR,78.0,
485,SRR5410487,SRR,78.0,
486,SRR5410486,SRR,78.0,
487,SRR5410485,SRR,78.0,
488,SRR5410484,SRR,78.0,
489,SRR5410483,SRR,78.0,
490,SRR5410482,SRR,78.0,
491,SRR5410481,SRR,78.0,
492,SRR5410480,SRR,78.0,
493,SRR5410479,SRR,78.0,
494,SRR5410478,SRR,78.0,
495,SRR5410477,SRR,78.0,
496,SRR5410476,SRR,78.0,
497,SRR5410475,SRR,78.0,
498,SRR5410474,SRR,78.0,
499,SRR5410473,SRR,78.0,
500,ERR1910472,ERR,78.0,
501,ERR1910471,ERR,78.0,
502,ERR1910470,ERR,78.0,
503,ERR1910469,ERR,78.0,
504,ERR1910468,ERR,78.0,
505,ERR1910467,ERR,78.0,
506,ERR1910466,ERR,78.0,
507,SRR6042361,SRR,78.0,
508,SRR7309155,SRR,78.0,
509,SRR7309171,SRR,78.0,
510,SRR7309228,SRR,78.0,
511,SRR7308895,SRR,78.0,
512,SRR7308912,SRR,78.0,
513,SRR7308920,SRR,78.0,
514,SRR7308946,SRR,78.0,
515,SRR7309059,SRR,78.0,
516,SRR7309098,SRR,78.0,
517,SRR7308758,SRR,78.0,
518,SRR7308822,SRR,78.0,
519,ERR2232522,ERR,78.0,
520,ERR3473846,ERR,78.0,
521,ERR3473782,ERR,78.0,
522,ERR3473762,ERR,78.0,
523,ERR3473746,ERR,78.0,
524,ERR3465812,ERR,78.0,
525,ERR3465811,ERR,78.0,
526,ERR3465809,ERR,78.0,
527,ERR3465807,ERR,78.0,
528,ERR3465802,ERR,78.0,
529,ERR3465801,ERR,78.0,
530,ERR3465800,ERR,78.0,
531,ERR3465799,ERR,78.0,
532,ERR3465798,ERR,78.0,
533,ERR3465797,ERR,78.0,
534,ERR3465796,ERR,78.0,
535,ERR3465794,ERR,78.0,
536,ERR3465793,ERR,78.0,
537,ERR3465792,ERR,78.0,
538,ERR3465791,ERR,78.0,
539,ERR3465790,ERR,78.0,
540,ERR3465789,ERR,78.0,
541,ERR3465786,ERR,78.0,
542,ERR3465784,ERR,78.0,
543,ERR3465783,ERR,78.0,
544,ERR3465782,ERR,78.0,
545,ERR3465781,ERR,78.0,
546,ERR3465780,ERR,78.0,
547,ERR3465779,ERR,78.0,
548,ERR3465776,ERR,78.0,
549,ERR3465775,ERR,78.0,
550,ERR3465772,ERR,78.0,
551,ERR3465771,ERR,78.0,
552,ERR3465768,ERR,78.0,
553,ERR3465767,ERR,78.0,
554,ERR3465766,ERR,78.0,
555,ERR3465763,ERR,78.0,
556,ERR3465762,ERR,78.0,
557,ERR3465761,ERR,78.0,
558,ERR3465759,ERR,78.0,
559,ERR3465758,ERR,78.0,
560,ERR3465757,ERR,78.0,
561,ERR3465756,ERR,78.0,
562,ERR3465755,ERR,78.0,
563,ERR3465754,ERR,78.0,
564,ERR3465751,ERR,78.0,
565,ERR3465749,ERR,78.0,
566,ERR3465748,ERR,78.0,
567,ERR3465743,ERR,78.0,
568,ERR3465733,ERR,78.0,
569,ERR3465731,ERR,78.0,
570,ERR3465730,ERR,78.0,
571,ERR3465729,ERR,78.0,
572,ERR3465725,ERR,78.0,
573,ERR3465724,ERR,78.0,
574,ERR3465723,ERR,78.0,
575,ERR3465722,ERR,78.0,
576,ERR3465721,ERR,78.0,
577,ERR3465719,ERR,78.0,
578,ERR3465717,ERR,78.0,
579,ERR3465716,ERR,78.0,
580,ERR3465714,ERR,78.0,
581,ERR3465711,ERR,78.0,
582,ERR3465710,ERR,78.0,
583,ERR3465707,ERR,78.0,
584,ERR3465700,ERR,78.0,
585,ERR3465697,ERR,78.0,
586,ERR3465696,ERR,78.0,
587,ERR3465694,ERR,78.0,
588,ERR3465693,ERR,78.0,
589,ERR3465692,ERR,78.0,
590,ERR3465688,ERR,78.0,
591,ERR3465686,ERR,78.0,
592,ERR3465684,ERR,78.0,
593,ERR3465683,ERR,78.0,
594,ERR3465682,ERR,78.0,
595,ERR3465681,ERR,78.0,
596,ERR3465680,ERR,78.0,
597,ERR3465679,ERR,78.0,
598,ERR3465676,ERR,78.0,
599,ERR3465675,ERR,78.0,
600,ERR3465673,ERR,78.0,
601,ERR3465669,ERR,78.0,
602,ERR3465668,ERR,78.0,
603,ERR3465667,ERR,78.0,
604,ERR3465665,ERR,78.0,
605,ERR3465664,ERR,78.0,
606,ERR3465663,ERR,78.0,
607,ERR3465660,ERR,78.0,
608,ERR3465659,ERR,78.0,
609,ERR3465658,ERR,78.0,
610,ERR3465657,ERR,78.0,
611,ERR3465651,ERR,78.0,
612,ERR3465650,ERR,78.0,
613,ERR3465648,ERR,78.0,
614,ERR3465647,ERR,78.0,
615,ERR3465646,ERR,78.0,
616,ERR3465644,ERR,78.0,
617,ERR3465643,ERR,78.0,
618,ERR3465642,ERR,78.0,
619,ERR3465641,ERR,78.0,
620,ERR3465640,ERR,78.0,
621,ERR3465639,ERR,78.0,
622,ERR3465632,ERR,78.0,
623,ERR3465631,ERR,78.0,
624,ERR3465630,ERR,78.0,
625,ERR3465617,ERR,78.0,
626,ERR3465605,ERR,78.0,
627,ERR3465598,ERR,78.0,
628,ERR3465580,ERR,78.0,
629,ERR3465562,ERR,78.0,
630,ERR3465561,ERR,78.0,
631,ERR3465470,ERR,78.0,
632,ERR3465466,ERR,78.0,
633,ERR3465451,ERR,78.0,
634,ERR3465447,ERR,78.0,
635,ERR3465445,ERR,78.0,
636,ERR3465420,ERR,78.0,
637,ERR3465380,ERR,78.0,
638,ERR3465345,ERR,78.0,
639,SRR6042350,SRR,77.0,
640,ERR3473863,ERR,73.0,
641,ERR3473830,ERR,73.0,
642,ERR3473811,ERR,72.0,
643,ERR2215993,ERR,70.0,
644,ERR3473888,ERR,70.0,
645,ERR3473815,ERR,70.0,
646,ERR3465608,ERR,70.0,
647,ERR126286,ERR,69.0,
648,ERR232379,ERR,67.0,
649,ERR126277,ERR,66.0,
650,SRR1519416,SRR,66.0,
651,ERR3473752,ERR,66.0,
652,ERR3473766,ERR,63.0,
653,ERR3465550,ERR,62.0,
654,ERR3465429,ERR,62.0,
655,ERR232382,ERR,60.0,
656,ERR126275,ERR,58.0,
657,ERR126259,ERR,56.0,
658,ERR3473792,ERR,56.0,
659,ERR126260,ERR,54.0,
660,ERR3473767,ERR,54.0,
661,ERR126279,ERR,53.0,
662,ERR3473892,ERR,53.0,
663,ERR3473865,ERR,53.0,
664,ERR3473809,ERR,53.0,
665,ERR3465372,ERR,51.0,
666,ERR126296,ERR,50.0,
667,ERR2215973,ERR,50.0,
668,ERR3473823,ERR,50.0,
669,ERR3473816,ERR,50.0,
670,ERR3465547,ERR,49.0,
671,ERR3473779,ERR,49.0,
672,ERR3465752,ERR,49.0,
673,ERR3465746,ERR,49.0,
674,ERR3465718,ERR,49.0,
675,ERR3465678,ERR,49.0,
676,ERR3465672,ERR,49.0,
677,ERR3465599,ERR,49.0,
678,ERR3465506,ERR,49.0,
679,ERR3473788,ERR,46.0,
680,ERR3465487,ERR,46.0,
681,ERR126280,ERR,45.0,
682,ERR3473774,ERR,45.0,
683,ERR3473791,ERR,44.0,
684,ERR3473783,ERR,44.0,
685,ERR3473912,ERR,43.0,
686,ERR3473872,ERR,43.0,
687,ERR3473754,ERR,42.0,
