id,ribotype
66,"['012', '027', '029', '029', '033', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
67,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001', 'CloneA-15', 'CloneB-11']"
68,"['027', '063/1', '126', '441/3', '012', '045/1', '066', '251', '441', '519', '542', 'CloneA-6', '078', 'CloneAT-7']"
69,"['484', '484']"
70,"['012', '029', '444', '519', '542', 'Strain630', '012', '012', '012', '029', '029', '029', '063', '063', '063', '247', '247', '434', '441', '444', '444', '444', '542', '542', 'AI-56', 'Strain027', '176', 'CloneB-12', 'CloneAT-11', '001', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
71,['029']
72,"['441/3', '012', '247', '519', '524', '542', 'StrainCD196', 'StrainCD196', 'CloneAT-8']"
73,"['033', '063/1', '126', '247', '434', '444', '484', 'CloneA-15', 'CloneB-11']"
74,['StrainCD196']
75,['542']
76,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '441/3', '444', '484', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', 'AI-56', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
77,['StrainCD196']
78,['542']
79,['033']
80,"['012', '027', '029', '434', '441/3', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '001']"
81,"['012', '027', '029', '029', '033', '063/1', '126', '247', '434', '434', '441/3', '444', '519', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '033', '045/1', '045', '063', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
82,['484']
83,['444']
84,"['441/3', '444']"
85,['063/1']
86,"['033', '033', '033', '045/1', '066/2', '066', '078/4', '078ecdc', '126', '251', '045/1', '078']"
87,['StrainCD196']
88,['CloneAT-11']
89,"['012', '519', '519', 'StrainCD196', '176', 'CloneB-12', 'CloneA-15']"
90,['029']
91,['029']
92,"['012', '027', '029', '029', '063/1', '126', '441/3', '444', '484', '519', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '029', '029', '029', '045/1', '063', '063', '063', '066', '247', '247', '247', '251', '434', '441', '444', '444', '444', '484', '519', '519', '524', '524', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', 'Strain027', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneB-12', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1']"
