"accession","source_code","ribotype"
"ERR232384","ERR",35
"ERR3473750","ERR",35
"ERR126274","ERR",33
"SRR1519394","SRR",33
"ERR1854839","ERR",33
"ERR2215990","ERR",33
"ERR3473805","ERR",33
"ERR3473876","ERR",32
"ERR833664","ERR",31
"ERR3465441","ERR",31
"ERR126284","ERR",29
"ERR3465515","ERR",29
"ERR833663","ERR",27
"ERR955906","ERR",27
"ERR928289","ERR",27
"ERR928310","ERR",27
"ERR928309","ERR",27
"ERR928306","ERR",27
"ERR928305","ERR",27
"ERR928304","ERR",27
"ERR928303","ERR",27
"ERR928300","ERR",27
"ERR928294","ERR",27
"ERR928292","ERR",27
"ERR928290","ERR",27
"ERR928288","ERR",27
"ERR928287","ERR",27
"ERR928283","ERR",27
"ERR928277","ERR",27
"ERR928276","ERR",27
"ERR928272","ERR",27
"ERR928271","ERR",27
"ERR928270","ERR",27
"ERR928267","ERR",27
"ERR928260","ERR",27
"ERR928258","ERR",27
"ERR928252","ERR",27
"ERR928247","ERR",27
"ERR928236","ERR",27
"ERR928234","ERR",27
"ERR928231","ERR",27
"ERR928228","ERR",27
"ERR928226","ERR",27
"ERR928308","ERR",27
"ERR928307","ERR",27
"ERR928285","ERR",27
"ERR928275","ERR",27
"ERR928274","ERR",27
"ERR928312","ERR",27
"ERR928311","ERR",27
"ERR928302","ERR",27
"ERR928299","ERR",27
"ERR928297","ERR",27
"ERR928296","ERR",27
"ERR928295","ERR",27
"ERR928284","ERR",27
"ERR928282","ERR",27
"ERR928281","ERR",27
"ERR928280","ERR",27
"ERR928279","ERR",27
"ERR928273","ERR",27
"ERR928269","ERR",27
"ERR928268","ERR",27
"ERR928265","ERR",27
"ERR1256644","ERR",27
"ERR026830","ERR",27
"ERR026831","ERR",27
"ERR026832","ERR",27
"ERR026833","ERR",27
"ERR026834","ERR",27
"ERR026835","ERR",27
"ERR026836","ERR",27
"ERR026837","ERR",27
"ERR026838","ERR",27
"ERR026839","ERR",27
"ERR026840","ERR",27
"ERR026841","ERR",27
"ERR026856","ERR",27
"ERR026857","ERR",27
"ERR026858","ERR",27
"ERR026859","ERR",27
"ERR026861","ERR",27
"ERR026862","ERR",27
"ERR026863","ERR",27
"ERR026864","ERR",27
"ERR026865","ERR",27
"ERR026866","ERR",27
"ERR026867","ERR",27
"ERR026844","ERR",27
"ERR026845","ERR",27
"ERR026847","ERR",27
"ERR026849","ERR",27
"ERR026850","ERR",27
"ERR026854","ERR",27
"ERR026869","ERR",27
"ERR026870","ERR",27
"ERR026871","ERR",27
"ERR026872","ERR",27
"ERR026873","ERR",27
"ERR026874","ERR",27
"ERR026875","ERR",27
"ERR026876","ERR",27
"ERR026877","ERR",27
"ERR026878","ERR",27
"ERR026879","ERR",27
"ERR026880","ERR",27
"ERR026362","ERR",27
"ERR026363","ERR",27
"ERR026354","ERR",27
"ERR026355","ERR",27
"ERR026356","ERR",27
"ERR026358","ERR",27
"ERR026359","ERR",27
"ERR026391","ERR",27
"ERR026392","ERR",27
"ERR026393","ERR",27
"ERR026394","ERR",27
"ERR026395","ERR",27
"ERR026396","ERR",27
"ERR026397","ERR",27
"ERR026398","ERR",27
"ERR026399","ERR",27
"ERR026400","ERR",27
"ERR026401","ERR",27
"ERR026417","ERR",27
"ERR026418","ERR",27
"ERR026420","ERR",27
"ERR026421","ERR",27
"ERR026422","ERR",27
"ERR026423","ERR",27
"ERR026424","ERR",27
"ERR026426","ERR",27
"ERR026427","ERR",27
"ERR026404","ERR",27
"ERR026405","ERR",27
"ERR026406","ERR",27
"ERR026407","ERR",27
"ERR026408","ERR",27
"ERR026409","ERR",27
